category,target_url,intent_class,12mo_revenue_proxy_usd,12mo_clicks_gsc,12mo_impressions_gsc,avg_position_gsc,ctr_gsc,seasonality_window,active_product_count,inventory_depth_signal,inventory_age_signal,inventory_driven_opportunity,competitive_difficulty,priority_tier,execution_wave,confidence_label,weighted_score,rationale,notes
Mexico,/collections/mexico,transactional + commercial (foreign),"n/a per-collection; Apparel category $813,198",156,119131,28.44,0.13%,WC sprint catalyst Jun-Jul 2026; year-round LA-diaspora demand,45,High,Stable (proxy),No,"Medium-High (inferred from SERP; DataForSEO KD not returned; volume 74,000/mo +173% quarterly)",Tier 1,Wave 1,High,83.5,"Largest single sprint opportunity by volume × impression pool × diaspora moat. 119,131 GSC impressions at position 28.4 [_top-pages.csv row 93]; 74,000/mo volume +173% quarterly trend [DFS keyword_overview 2026-04-26]; Carlos avatar bullseye [04-customer-avatars.md].","Phase 2 Task 2 reset expectations from Phase 1's claimed pos 9-14; this is rebuild scope not polish. v1.1: no shift."
Argentina,/collections/argentina,commercial + transactional,"n/a per-collection; Apparel category $813,198",181,138797,17.56,0.13%,WC reigning-champion catalyst,45,High,Stable (proxy),No,"Medium-High (inferred; HIGH paid competition; Adidas DTC dominates; 9,900/mo +124% quarterly per DFS)",Tier 1,Wave 1,High,78.75,"Reigning World Cup champion + Messi MLS catalyst (Inter Miami creates US relevance). 138,797 GSC impressions at pos 17.56 [_top-pages.csv row 80]; 9,900/mo head-term volume +124% quarterly +22% yearly [DFS]; deep inventory; Carlos-avatar bullseye via Argentine diaspora plus Tyler-avatar via Messi spotlight.","v1.1 SHIFT: Tier 2 High to Tier 1 High driven by DataForSEO volume confirmation and WC catalyst trend."
Brazil,/collections/brazil,transactional,"n/a per-collection; Apparel category $813,198",157,75531,22.09,0.21%,WC catalyst,44,High,Stable (proxy),No,"Medium (inferred; HIGH paid competition; Nike DTC dominates; volume 22,200/mo +234% quarterly per DFS)",Tier 1,Wave 1,High,78.75,"Highest jersey-query volume in the v1.1 batch at 22,200/mo with +234% quarterly +123% yearly [DFS]; transactional intent (highest commercial signal of any non-USMNT team). 75,531 GSC impressions at pos 22.09 [_top-pages.csv row 92]; 5x World Cup winner; Vinicius-Brazil player-spotlight v2 test candidate.","v1.1 SHIFT: Tier 2 Medium to Tier 1 High. January audit value $278K."
France,/collections/france,commercial + transactional,"n/a per-collection; Apparel category $813,198",197,82546,14.66,0.24%,WC catalyst,44,High,Stable (proxy),No,"Medium (inferred; HIGH paid competition; volume 4,400/mo +311% quarterly per DFS)",Tier 1,Wave 1,High,74.75,"Steepest non-USMNT catalyst trend in batch: +311% quarterly +311% yearly [DFS]. 82,546 GSC impressions at pos 14.66 [_top-pages.csv row 71]; 2018 winner with Mbappé tailwind (player-spotlight v2 test candidate); deep inventory.","v1.1 SHIFT: Tier 2 Medium to Tier 1 High. Mbappé MLS rumors (if materialize) would amplify."
Italy,/collections/italy,transactional,"n/a per-collection; Apparel category $813,198",635,138080,13.99,0.46%,WC sprint catalyst,42,High,Stable (proxy),No,"Medium (KD not returned by DFS; volume 3,600/mo +125% quarterly +50% yearly)",Tier 1,Wave 2,High,74,"138,080 GSC impressions at pos 13.99 [_top-pages.csv row 22]; CTR ceiling lever (0.46% currently) is the primary unlock via meta description rewrite; LA Italian-American secondary diaspora.","v1.1 SHIFT: Wave 2 (was Layer 1 sprint in v1; v1.1 wave structure moves Italy to immediate-post-Wave-1)."
Portugal,/collections/portugal,informational + commercial,"n/a per-collection; Apparel category $813,198",207,69695,18.43,0.3%,WC catalyst,44,High,Stable (proxy),No,"Medium (inferred; volume 9,900/mo +124% quarterly per DFS)",Tier 1,Wave 2,High,74,"9,900/mo head-term volume +124% quarterly +83% yearly [DFS]; 69,695 GSC impressions at pos 18.43 [_top-pages.csv row 68]; Cristiano legacy + Bernardo Silva; existing /collections/cristiano-ronaldo collection at pos 19.85 [_top-pages.csv row 29] is positioning tailwind.","v1.1 SHIFT: Tier 2 Medium to Tier 1 High."
Spain,/collections/spain,informational,"n/a per-collection; Apparel category $813,198",184,85593,18.73,0.21%,WC catalyst,46,High,Stable (proxy),No,"Medium (inferred; volume 5,400/mo +175% quarterly per DFS)",Tier 1,Wave 2,High,73.25,"2024 European champion. 5,400/mo +175% quarterly +83% yearly [DFS]; 85,593 GSC impressions at pos 18.73 [_top-pages.csv row 78]; Lamine Yamal anchor page already validated (118,981 imps at pos 10.38 [_top-pages.csv row 14]); /collections/spain-jerseys-copy duplicate flagged for VERITAS cleanup [Phase 2 Task 1].","v1.1 SHIFT: Tier 2 Medium to Tier 1 High."
Holland,/collections/holland,informational + commercial,"n/a per-collection; Apparel category $813,198",393,127612,10.53,0.31%,WC catalyst,42,High,Stable (proxy),No,"Medium (inferred; volume 2,400/mo +89% quarterly per DFS)",Tier 1,Wave 2,High,72.5,"Already on page 1 at pos 10.53 with 127,612 impressions [_top-pages.csv row 24]; CTR ceiling is the primary lever. /collections/netherlands 301-redirects in but still pulls 103 extra clicks [Phase 2 Task 1];both URLs healthy.","v1.1 SHIFT: Tier 2 High to Tier 1 High."
Colombia,/collections/colombia,informational + commercial,"n/a per-collection; Apparel category $813,198",252,52670,18.11,0.48%,WC catalyst + LA-diaspora year-round,46,High,Stable (proxy),No,"Medium (inferred; volume 9,900/mo +124% quarterly per DFS)",Tier 1,Wave 2,High,72.5,"v1.1 surprise: 9,900/mo head-term volume matches Argentina/Portugal [DFS]; v1 had Colombia as Tier 2 Medium based on GSC alone (52,670 imps). True demand is twice what GSC capture suggested. LA Latin American diaspora moat strong; 46 products.","v1.1 SHIFT: Tier 2 Medium to Tier 1 High driven by DataForSEO volume reveal."
Germany,/collections/germany,commercial,"n/a per-collection; Apparel category $813,198",266,114857,18.47,0.23%,WC catalyst,45,High,Stable (proxy),No,"Medium (inferred; volume 3,600/mo +125% quarterly per DFS)",Tier 1,Wave 2,Medium-High,71.75,"114,857 GSC impressions at pos 18.47 [_top-pages.csv row 48]; 3,600/mo +125% quarterly +23% yearly [DFS]; consistent contender; January audit named ~$76K opportunity value.","v1.1 SHIFT: Tier 2 High to Tier 1 Medium-High."
USMNT,/collections/united-states-men-women,transactional,"n/a per-collection; Apparel category $813,198",53,79559,45.84,0.07%,WC host-country catalyst,45,High,Stable (proxy),No,"Medium-High (inferred; volume 33,100/mo +395% monthly +643% yearly per DFS,steepest catalyst on entire board)",Tier 1,Wave 1,Medium,69.5,"HARD BLOCKER: 3 overlapping US collection URLs splitting link equity [Phase 2 Task 1]; sprint work does not begin until Technical SEO consolidates to one canonical with 301s from the others. Once consolidated, +643% yearly volume trend [DFS] makes this the steepest WC catalyst on the board.","Wave 1 conditional on URL consolidation; partial-recovery realism inside 8 weeks given pos 45.8 floor."
El Salvador,/collections/el-salvador,commercial,"n/a per-collection; Apparel category $813,198",351,76858,10.8,0.46%,WC catalyst + year-round Hispanic demand,42,High,Stable (proxy),No,"Medium (KD not returned by DFS; volume 5,400/mo +86% quarterly)",Tier 1,Wave 1,High,70.75,"Lowest-effort highest-return on the sprint board: page is broken (default title; empty meta description; bare H1) yet ranks pos 10.8 with 76,858 impressions [_top-pages.csv row 32]; basic optimization pass is the entire scope.","Wave 1 quick fix; same broken-meta pattern as Honduras but with deep inventory."
Guatemala,/collections/guatemala,transactional + commercial (foreign),"n/a per-collection; Apparel category $813,198",652,99864,9.36,0.65%,Copa Oro + WC adjacent,38,High,Stable (proxy),No,"Medium (KD not returned by DFS; volume 2,900/mo +46% quarterly)",Tier 1,Wave 1,High,70.75,"Already top-of-page-1 at pos 9.36 with 99,864 impressions [_top-pages.csv row 20]; polish-and-publish work scope; title doesn't carry WC2026 (Template B) which is a fixable gap.","Wave 1 fast polish; Carlos avatar via Copa Oro context."
