Handle,Command,Metafield: title_tag [string],Metafield: description_tag [string]
nike-phantom-6-high-academy-fg-mg-soccer-cleats-shadow-fa26,MERGE,Nike Phantom 6 High Academy FG/MG Shadow FA26,"A Flyknit Dynamic Fit collar locks the ankle on the Nike Phantom 6 High Academy, over an FG/MG plate for grass and turf. Lace up in the Shadow Pack."
nike-phantom-6-high-academy-turf-soccer-shoes-shadow-fa26,MERGE,Nike Phantom 6 High Academy Turf Shadow,"The Nike Phantom 6 High Academy Turf runs a rubber outsole over ReactX foam, with a high Flyknit collar for lockdown on 3G. Shadow Pack colorway."
nike-phantom-6-low-academy-fg-mg-soccer-cleats-shadow-fa26,MERGE,Nike Phantom 6 Low Academy FG/MG Shadow FA26,"No collar, no fuss. The Nike Phantom 6 Low Academy puts Cyclone 360 forefoot traction under an FG/MG plate for grass and mixed ground. Shadow Pack."
nike-superfly-11-academy-turf-soccer-shoes-shadow-pack-fa26,MERGE,Nike Superfly 11 Academy Turf Shadow,The Nike Superfly 11 Academy Turf keeps a NikeSkin upper and a Dynamic Fit collar over a rubber outsole tuned for 3G. Shadow Pack black and Illusion Green.
nike-superfly-11-club-fg-mg-soccer-cleats-shadow-fa26,MERGE,Nike Superfly 11 Club FG/MG Shadow,"Nike's entry-price Superfly runs a durable synthetic leather upper on a light FG/MG plate, with chevron and conical studs for grip. Shadow Pack."
nike-tiempo-maestro-academy-fg-mg-soccer-cleats-shadow-fa26,MERGE,Nike Tiempo Maestro Academy FG/MG Shadow,"Soft FlyTouch leather gives the Nike Tiempo Maestro Academy a clean touch, with bladed and conical studs on an FG/MG plate. Shadow Pack colorway."
mizuno-morelia-neo-v-beta-elite-fg-soccer-cleats-bright-black,MERGE,Mizuno Morelia Neo V Beta Elite FG Bright Black,"Kangaroo leather and an external heel counter make the Mizuno Morelia Neo V Beta Elite a firm-ground touch cleat. Bright Black Pack, Lava Orange trim."
mizuno-morelia-neo-v-beta-pro-fg-soccer-cleats-bright-black,MERGE,Mizuno Morelia Neo V Beta Pro FG Bright Black,The Mizuno Morelia Neo V Beta Pro brings real kangaroo leather and a foot-shaped Engineered Fit Last Neo to firm ground. Bright Black Pack.
nike-phantom-6-low-academy-turf-soccer-shoes-shadow-fa26,MERGE,Nike Phantom 6 Low Academy Turf Shadow,"Engineered mesh and a NikeSkin touch zone give the Nike Phantom 6 Low Academy real feel on turf, over a rubber outsole built for grip. Shadow Pack black."
nike-phantom-6-high-elite-firm-soccer-cleats-breakout-pack-su26,MERGE,Nike Phantom 6 High Elite FG Breakout,"Gripknit grip and Ghost Lacing give the Nike Phantom 6 High Elite FG a clean strike surface, with Cyclone 360 traction underfoot. Breakout Pack."
nike-phantom-6-low-pro-firm-ground-soccer-cleats-breakout-pack-su26,MERGE,Nike Phantom 6 Low Pro FG Breakout,"VNMSkin over a Flyknit base brings the ball close on the Nike Phantom 6 Low Pro FG, a low-cut firm-ground cleat. Breakout Pack colorway."
adidas-predator-elite-fold-over-tongue-artificial-grass-soccer-cleats-road-to-glory-pack-sp26,MERGE,adidas Predator Elite FO AG Road to Glory,"The adidas Predator Elite AG runs a Nanostrike+ Primeknit upper behind a fold-over tongue, on an AG outsole made for 3G. Road to Glory Pack, 7.2 oz."
